Date,Time,TxBat(V),VFR 2.4G(%),Rx VFR(%),VFR 900M(%),AccY(g),Altitude(m),RSSI 2.4G(dB),RX,RxBatt(V),AccX(g),AccZ(g),VSpeed(m/s),RSSI 900M(dB),RX,R.angle(°),P.angle(°),Power 900M(mW),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),VFAS(V),Current(A),Temp1(°C),Temp2(°C),Air speed(km/h),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,
2026-04-02,13:48:40.780,7.44,96,100,100,0.042,65.68,47,0,8.17,-0.199,0.908,2.21,61,0,-139.67,66.89,10,0.00,3.59,3.63,3.62,3.64,3.63,3.61,3.65,3.63,28.76,41.7,-30,-30,73.2,0,-342,589,0,0,667,0,-888,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:41.020,7.43,97,100,100,0.053,66.08,47,0,8.17,-0.233,0.993,1.69,60,0,-145.30,54.51,10,0.00,3.59,3.63,3.62,3.64,3.63,3.61,3.65,3.63,28.75,42.0,-30,-30,73.2,0,-317,588,0,0,666,0,-888,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:41.280,7.43,96,100,100,0.029,66.48,44,0,8.17,-0.180,0.768,1.56,61,0,-146.05,49.35,10,0.00,3.59,3.63,3.62,3.64,3.63,3.61,3.65,3.62,28.75,42.0,-30,-30,72.4,0,-399,588,39,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:41.540,7.43,90,100,100,0.091,66.69,42,0,8.17,-0.203,1.022,1.08,61,0,-148.88,40.34,10,0.00,3.59,3.63,3.62,3.64,3.63,3.61,3.65,3.62,28.75,41.8,-30,-30,72.4,0,-417,588,35,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:41.800,7.43,84,100,100,0.077,66.84,40,0,8.17,-0.156,1.006,0.73,61,0,-153.63,34.63,10,0.00,3.59,3.63,3.62,3.63,3.63,3.61,3.65,3.62,28.75,41.8,-30,-30,75.0,0,-393,588,0,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:42.060,7.43,82,100,100,0.074,66.93,39,0,8.17,-0.123,0.966,0.48,62,0,-158.23,29.35,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.65,3.62,28.74,41.6,-30,-30,74.3,0,-436,588,8,0,667,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:42.330,7.43,83,100,100,0.055,66.95,39,0,8.17,-0.172,1.025,0.25,62,0,-166.96,20.37,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.6,-30,-30,76.3,0,-404,588,11,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:42.590,7.43,79,100,100,0.049,66.98,37,0,8.17,-0.275,1.249,0.08,62,0,-167.58,16.16,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.7,-30,-30,73.5,0,-431,588,140,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:42.860,7.43,76,100,100,0.051,67.14,36,0,8.17,-0.213,1.058,0.08,61,0,-160.72,15.07,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.7,-30,-30,73.5,0,-448,587,175,0,666,0,-888,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:43.130,7.43,71,100,100,0.051,66.75,36,0,8.17,-0.201,1.169,0.16,60,0,-159.54,12.00,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.7,-30,-30,74.3,0,-191,586,0,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:43.390,7.43,81,100,100,0.131,66.48,39,0,8.14,-0.164,0.937,-0.86,57,0,-169.71,8.59,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.7,-30,-30,74.3,0,-405,587,5,0,667,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:43.650,7.43,83,100,100,0.089,66.14,39,0,8.14,-0.123,0.749,-0.97,54,0,-169.71,8.59,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.1,-30,-30,78.0,0,-372,587,45,0,667,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:43.920,7.43,89,100,100,0.042,65.66,40,0,8.16,-0.132,1.016,-1.42,48,0,173.84,5.03,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,40.9,-30,-30,77.6,0,-415,587,216,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:44.180,7.43,88,100,100,0.039,65.48,39,0,8.16,-0.150,1.282,-1.42,48,0,176.08,3.05,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,40.9,-30,-30,77.6,0,-416,587,209,0,666,0,-888,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:44.450,7.43,80,100,100,0.054,65.20,37,0,8.17,-0.189,1.180,-0.90,53,0,-174.40,3.91,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.0,-30,-30,77.4,0,-400,588,162,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:44.710,7.43,73,100,100,0.094,64.76,38,0,8.17,-0.168,1.101,-1.24,55,0,-174.29,3.63,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.74,41.0,-30,-30,78.3,0,-358,561,162,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:44.970,7.43,66,100,100,0.100,64.24,38,0,8.17,-0.105,1.101,-1.58,56,0,-177.99,3.04,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.78,38.1,-30,-30,79.5,0,-299,499,214,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:45.230,7.43,76,100,100,0.076,63.99,41,0,8.17,-0.088,0.893,-1.27,58,0,175.36,3.82,10,0.00,3.59,3.63,3.62,3.63,3.63,3.60,3.64,3.62,28.78,38.1,-30,-30,81.7,0,-261,499,297,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:45.490,7.43,81,100,100,0.070,63.54,43,0,8.17,-0.022,0.888,-1.29,59,0,174.91,3.71,10,0.00,3.59,3.63,3.63,3.64,3.63,3.60,3.64,3.62,28.82,34.2,-30,-30,81.7,0,-237,499,358,0,666,0,-888,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:45.750,7.43,89,100,100,0.055,63.08,44,0,8.17,-0.022,0.860,-1.54,58,0,178.10,5.40,10,0.00,3.59,3.63,3.63,3.64,3.63,3.62,3.64,3.62,28.82,34.2,-30,-30,81.9,0,-277,499,384,0,667,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:46.020,7.43,92,100,100,0.088,62.64,45,0,8.17,-0.070,0.889,-1.54,57,0,-175.65,7.18,10,0.00,3.59,3.63,3.63,3.64,3.63,3.62,3.66,3.64,28.84,34.2,-30,-30,81.7,0,-249,498,183,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:46.280,7.43,97,100,100,0.095,62.33,48,0,8.17,-0.070,0.926,-1.29,54,0,-175.68,7.19,10,0.00,3.60,3.65,3.63,3.64,3.63,3.62,3.66,3.64,28.84,34.2,-30,-30,81.9,0,-271,499,0,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
2026-04-02,13:48:46.550,7.43,100,100,100,0.081,61.97,50,0,8.17,-0.072,0.924,-1.23,53,0,172.81,7.39,10,0.00,3.60,3.65,3.64,3.65,3.63,3.62,3.66,3.64,28.86,34.0,-30,-30,81.9,0,-298,499,0,0,666,0,-887,1,-1,-1,1,1,-1,-1,-1,-1,-1,0,1,
