Date,Time,TxBat(V),VFR 2.4G(%),Rx VFR(%),VFR 900M(%),AccY(g),Altitude(m),RSSI 2.4G(dB),RX,RxBatt(V),AccX(g),AccZ(g),VSpeed(m/s),RSSI 900M(dB),RX,R.angle(°),P.angle(°),Power 900M(mW),ADC2(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),VFAS(V),Current(A),Temp1(°C),Temp2(°C),Air speed(km/h),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,LS1,LS2,
2026-04-02,14:26:40.760,7.46,100,100,100,0.054,-0.12,99,0,8.17,0.120,1.021,-0.10,100,0,-87.46,-26.44,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,666,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:40.980,7.46,100,100,100,0.025,-0.11,99,0,8.17,0.187,0.987,-0.04,100,0,-95.53,-27.90,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,666,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:41.240,7.46,100,100,100,-0.007,-0.07,99,0,8.17,0.174,0.951,0.07,100,0,-108.28,-30.29,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,666,0,-887,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:41.500,7.46,100,100,100,-0.075,-0.01,99,0,8.17,0.155,1.056,0.17,100,0,-114.16,-30.83,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,12,-1024,0,0,667,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:41.760,7.46,100,100,100,0.047,-0.03,99,0,8.17,0.159,0.949,0.01,100,0,-127.06,-29.56,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,12,-1024,0,0,667,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:42.020,7.45,100,100,100,0.027,-0.06,98,0,8.17,0.216,1.033,0.02,100,0,-139.69,-27.71,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,667,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:42.280,7.46,100,100,100,0.013,-0.06,97,0,8.17,0.229,0.907,-0.05,100,0,-144.31,-26.27,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,666,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:42.550,7.45,100,100,100,0.034,-0.02,94,0,8.17,0.271,1.004,0.07,100,0,-153.83,-20.62,10,0.00,4.20,4.21,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,667,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:42.810,7.45,100,100,100,-0.118,-0.02,93,0,8.17,0.257,1.076,0.16,100,0,-158.39,-16.00,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,666,0,-887,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:43.070,7.45,100,100,100,-0.124,0.12,94,0,8.17,0.206,0.918,0.23,99,0,-168.87,-12.80,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,667,0,-887,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:43.330,7.45,100,100,100,-0.093,0.17,94,0,8.17,0.149,0.926,0.21,100,0,-169.98,-13.26,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,666,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:43.600,7.45,100,100,100,-0.155,0.21,94,0,8.17,0.173,1.025,0.15,100,0,-172.59,-11.08,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,12,-1024,0,0,667,0,-887,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:43.870,7.45,100,100,100,-0.044,0.19,94,0,8.17,0.149,0.943,0.03,100,0,-174.16,-7.32,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,667,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:44.140,7.45,100,100,100,-0.087,0.20,94,0,8.17,0.221,1.028,0.02,96,0,-176.15,-5.38,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,667,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:44.400,7.46,100,100,100,-0.110,0.25,95,0,8.17,0.160,0.910,0.09,94,0,-177.46,-3.69,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,11,-1024,0,0,666,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
2026-04-02,14:26:44.670,7.46,100,100,100,-0.025,0.32,95,0,8.17,0.195,0.922,0.17,97,0,-175.77,-2.35,10,0.00,4.20,4.20,4.19,4.20,4.20,4.19,4.21,4.20,0.00,0.0,-30,-30,0.0,0,12,-1024,0,0,666,0,-888,0,-1,0,0,-1,1,-1,-1,-1,-1,0,0,
